Key	No.Markers	Group
aCD4 Tm	40	T Cell
aDC	53	DC
aMast	38	Granulocytes
aNK	59	NK Cell
Bm	62	B Cell
Bn	60	B Cell
CD4 Tn	52	T Cell
CD8 T	68	T Cell
Eosinophil	51	Granulocytes
M0	33	Mononuclear phagocyte system
M1	48	Mononuclear phagocyte system
M2	37	Mononuclear phagocyte system
Neutrophil	60	Granulocytes
Plasma	49	B Cell
rCD4 Tm	64	T Cell
rDC	40	DC
rMast	38	Granulocytes
rNK	57	NK Cell
Tfh	57	T Cell
Tgd	58	T Cell
Treg	64	T Cell
