CellType,Gene
CD79a+Plasma,HSP90B1
CD79a+Plasma,SDF2L1
CD79a+Plasma,PLPP5
CD79a+Plasma,SDC1
CD79a+Plasma,IGLV3-1
CD79a+Plasma,HERPUD1
CD79a+Plasma,ERLEC1
CD79a+Plasma,CD79A
CD79a+Plasma,SELENOS
CD79a+Plasma,LMAN1
CD79a+Plasma,POU2AF1
CD79a+Plasma,SPAG4
M2,FTL
M2,CST3
M2,PSAP
M2,TYROBP
M2,FCER1G
M2,AIF1
M2,CD68
M2,LYZ
M2,GRN
M2,NPC2
M2,CTSB
M2,CTSS
M2,S100A11
M2,CTSZ
M2,MS4A6A
M2,SPI1
M2,SERPINA1
M2,FCGRT
M2,CD14
M2,SAT1
M2,RNF130
M2,BRI3
M2,LST1
M2,ASAH1
M2,HLA-DRA
M2,MS4A7
M2,HLA-DRB1
M2,PLAUR
M2,CYBB
M2,MAFB
cDC,HLA-DPB1
cDC,CST3
cDC,HLA-DPA1
cDC,HLA-DRA
cDC,HLA-DRB1
cDC,HLA-DQB1
cDC,HLA-DQA1
cDC,CD74
cDC,LYZ
cDC,SPI1
cDC,GSN
cDC,ALDH2
cDC,AIF1
cDC,GRN
cDC,CTSZ
cDC,TMSB10
cDC,HLA-DMA
cDC,LGALS2
cDC,CTSH
cDC,HLA-DRB5
cDC,GSTP1
cDC,LST1
cDC,TYROBP
cDC,COTL1
cDC,GABARAP
cDC,PLAUR
cDC,NPC2
cDC,KLF4
cDC,VIM
cDC,PPA1
CD4+TCF1+T,LEF1
CD4+TCF1+T,CCR7
CD4+TCF1+T,FLT3LG
CD4+TCF1+T,GIMAP7
CD4+TCF1+T,ANXA1
CD4+TCF1+T,TCF7
CD4+TCF1+T,AQP3
CD4+TCF1+T,S1PR1
CD4+TCF1+T,CAMK4
CD4+TCF1+T,LDHB
CD4+TCF1+T,NOSIP
CD4+TCF1+T,CD5
CD4+TCF1+T,KLF3
CD4+TCF1+T,CD28
CD4+TCF1+T,LTB
CD4+TCF1+T,CD6
CD4+TCF1+T,TC2N
CD4+TCF1+T,LEPROTL1
CD4+TCF1+T,AAK1
CD4+TCF1+T,PIK3IP1
CD4+TCF1+T,PLK3
CD4+TCF1+T,ABLIM1
CD4+TCF1+T,TRAT1
CD4+TCF1+T,PBXIP1
CD4+TCF1+T,RPL36A
CD4+TCF1+T,SELL
CD4+TCF1+T,RPS3A
CD4+TCF1+T,RNF125
CD4+TCF1+T,NDFIP1
CD8+TCF1+T,CD8B
CD8+TCF1+T,GZMM
CD8+TCF1+T,CCL4
CD8+TCF1+T,TUBA4A
CD8+TCF1+T,TC2N
CD8+TCF1+T,OASL
